step,agent,x,y,theta
0,0,-1.6550673889521805,11.154418857487778,1.3860748210905167
0,1,1.4550780190147843,11.122017836903364,5.3977768590240425
0,2,-0.9201503808696313,8.733713211188816,2.863582589750843
0,3,-3.057559780323551,12.05020617061461,2.0449613707803174
0,4,-1.5715993515062952,9.545056682030275,2.328898906752362
0,5,-0.04797431419349496,8.712156656839975,3.319302598338041
0,6,-1.8483889680968204,10.127047784941126,2.0064043114438217
0,7,1.052926401372852,11.830525057754981,5.752697347502066
0,8,12.627021831275504,14.314304646300924,1.4587954774554532
0,9,1.3814633238515348,9.5075768758413,4.389510195403847
0,10,0.23837323769721874,12.061370820038933,0.1480120868317512
0,11,7.419104824963197,11.270771614194345,4.225315357363157
0,12,0.006320908640713552,12.183632531913348,0.2884935259856527
0,13,1.42766246458874,10.06510343991915,4.6601575284647065
0,14,1.5774731539795492,10.755420317746234,5.154415811515205
0,15,0.8999942198874855,11.857236441272574,5.928144456630559
0,16,-1.7961957636407944,13.239438875040054,3.506058818468073
0,17,0.6234365296642488,12.06884546723536,6.125048970869157
0,18,-0.036984702652048784,8.716109015222399,3.32657285346541
0,19,-0.31364441286235945,12.181428598713438,0.4913673584785392
0,20,-1.6988565694915818,10.053160478404967,1.8999077794519612
0,21,-1.2231752099482889,9.261381017817916,2.6242506487701904
0,22,0.6482443676653459,8.983543321522813,3.7810414427812775
0,23,-4.014380268980219,17.290565880618146,6.12746025046287
0,24,-3.3481664200822983,13.690410262772472,5.165813002269737
0,25,-0.8666993602781519,8.940924285574217,2.703091459220526
0,26,0.6277473285139207,12.122760110590624,6.161873078741841
0,27,-1.7087582618847188,10.632021459835768,1.7264430371202286
0,28,0.8825550051899388,9.108234058180425,3.995298043910859
0,29,-1.7202723043094341,10.231818160537705,1.9393345468988827
0,30,-1.5554009880335262,11.523783612834876,1.2381363854121457
0,31,-1.5468080189049243,9.589219216670053,2.303046184989394
0,32,1.6680471061480107,10.817801517322184,5.177165549386864
0,33,0.3368823937580139,8.980275413284836,3.6481226131594173
0,34,0.9453432214406745,12.517132977219942,5.859686866228522
0,35,-0.6203105194947679,8.795944393936086,3.0824152341684137
0,36,-0.21897413421067036,12.186723337154547,0.3418958837946837
0,37,-0.7895440799457737,12.112676438333263,0.7699077452338783
0,38,1.3464925741780789,9.649003216628342,4.5103376586363515
0,39,1.562951639660699,9.845123763442823,4.6399286133501585
0,40,1.4146740014596786,9.637028803302726,4.449240497116158
0,41,-1.202230327041303,11.810277577506973,0.9268969078347331
0,42,0.861824633204534,9.139090416296552,4.032203908363067
0,43,1.6584619851267886,11.088812426121926,5.32154962683103
0,44,-2.7328380485967756,13.311532377904712,5.104593185566753
0,45,1.4827986314926682,9.57006176049919,4.426220995811208
0,46,-1.34612560577364,9.098325173348844,2.4963203162077097
0,47,0.16866733563719505,8.734111135616047,3.535820706443922
0,48,1.6235612439490146,10.604998561075623,5.139214629218714
0,49,0.7677595950793283,12.039393786415848,6.072297418962008
0,50,5.6206270751036165,10.485006484150365,3.2317676238917215
0,51,1.5314591619711675,11.403241646251365,5.5020039191989
0,52,-1.1434654991806552,9.184076207100055,2.6197624357269493
0,53,-1.540919511398283,11.17287616668343,1.3958298893413914
0,54,-1.7010611155854432,10.706734259814073,1.6691606877588612
0,55,-1.157069908685806,12.073810790289702,0.8267810647467069
0,56,-1.324716830891131,11.779055550786536,1.050052469301218
0,57,-0.6490150447794161,8.75679192355083,2.958416766744598
0,58,0.07647548597726583,12.318369713186819,0.2256725064727204
0,59,-1.2031895094141103,11.721117895680328,1.0227407485668722
0,60,-1.4395608378446447,11.309022604843992,1.2753868116426947
0,61,-0.39659405053262486,12.191148149074593,0.4231798987156428
0,62,-3.452405676175717,14.486085635087587,0.6098066335542245
0,63,0.734037722670657,12.180589141339238,6.136690143712527
0,64,-0.4327110314429661,8.946277083773628,3.165808160297547
0,65,-0.29267565521841765,8.678869884148348,3.2095102741106176
0,66,-1.4220891827703055,11.402951281922387,1.1579618477187372
0,67,1.0594933905765926,11.626441660346503,5.825723242447852
0,68,-0.6524650602698423,12.116495072908398,0.5674589457675419
0,69,1.4345153123470635,11.248191970601116,5.4238920231329715
0,70,-0.9356077220476238,12.106157670930997,0.8465148712314489
0,71,-2.840422796561342,10.948772951397839,1.9816787899584956
0,72,1.3185953353347184,11.416995778851119,5.623482349009155
0,73,-2.079618036156798,10.594493228677935,2.2811787833628885
0,74,-1.6650306628502494,10.616828344442874,1.6758544201117298
0,75,-0.31258023705263566,10.780791173383339,4.274265074770513
0,76,14.69884611389441,14.350817515517607,1.0064434350395537
0,77,-2.4849044083909235,11.556924150772334,3.7527022472067184
0,78,-1.587867049540993,9.707821445314584,2.246807029848572
0,79,1.2796190884972416,9.826243596160786,4.555612716113688
0,80,7.417562228454436,10.524654698668561,3.5779900323636733
0,81,0.18916950737972427,12.135219152657793,0.16068456343909476
0,82,-1.422118174338138,9.37886853116225,2.339083779003937
0,83,0.5767483040104276,8.770900557099983,3.700128285814742
0,84,1.1124430674966648,11.938021302093942,5.854981259197849
0,85,0.7216220904735793,8.802907933935748,3.8432281444746277
0,86,-0.5566485662741839,8.846185613470876,2.968666588390331
0,87,1.7307173352207492,10.49643301400612,4.896109306013178
0,88,-0.5152624288276045,12.188360122633696,0.559225659735787
0,89,1.0416475008317727,11.607861660482373,5.765062695323859
0,90,0.7009635405926102,12.191711198951873,6.062781048937172
0,91,-1.5926965830422704,11.18098021223982,1.3354920290196952
0,92,0.2819811984292544,8.84670597934967,3.6444213755823966
